br,km_trecho,uf,municipio,acidentes,mortos,feridos_graves,pessoas,letalidade,letalidade_ic_baixo,letalidade_ic_alto,tipo_pista,uso_solo
101,327,RJ,RIO DE JANEIRO,23,0,6,64,0.0,0.0,0.05662405979280531,Dupla,Não
40,3,DF,BRASILIA,23,0,5,54,0.0,0.0,0.06641358809089637,Dupla,Sim
277,70,PR,SAO JOSE DOS PINHAIS,23,2,3,63,0.031746031746031744,0.008749527561580449,0.1085647704660743,Dupla,Não
101,65,PE,RECIFE,23,0,13,50,0.0,0.0,0.0713475991333587,Dupla,Não
101,60,PE,RECIFE,23,3,5,48,0.0625,0.0214832329083893,0.16835438054946347,Múltipla,Sim
116,17,CE,ITAITINGA,23,0,4,70,0.0,0.0,0.0520230624102669,Dupla,Sim
277,82,PR,CURITIBA,23,1,2,59,0.01694915254237288,0.0029982339183556375,0.08995725964142295,Dupla,Sim
40,104,RJ,DUQUE DE CAXIAS,23,0,7,61,0.0,0.0,0.0592438678981128,Múltipla,Não
116,226,SP,GUARULHOS,23,1,4,57,0.017543859649122806,0.003103664651408093,0.09290749178567684,Múltipla,Sim
20,4,DF,BRASILIA,23,0,4,61,0.0,0.0,0.0592438678981128,Dupla,Sim
324,516,BA,FEIRA DE SANTANA,23,0,7,57,0.0,0.0,0.06313883485297893,Simples,Sim
70,16,DF,BRASILIA,23,0,3,55,0.0,0.0,0.06528490111708635,Simples,Não
101,267,ES,SERRA,23,1,7,41,0.024390243902439025,0.004318531568912404,0.12595062055774228,Dupla,Sim
101,149,ES,LINHARES,23,0,8,61,0.0,0.0,0.0592438678981128,Simples,Sim
116,213,SP,GUARULHOS,23,3,5,54,0.05555555555555555,0.019073268454690914,0.1510721431816614,Múltipla,Sim
101,295,ES,CARIACICA,23,0,7,55,0.0,0.0,0.06528490111708635,Dupla,Sim
280,56,SC,GUARAMIRIM,23,1,6,50,0.02,0.0035392592716462293,0.1049544358963781,Dupla,Sim
153,437,GO,ANAPOLIS,23,0,4,36,0.0,0.0,0.09641862859446362,Simples,Sim
153,64,SP,SAO JOSE DO RIO PRETO,23,3,2,64,0.046875,0.016069016786292974,0.12899653740093683,Dupla,Sim
101,123,SC,ITAJAI,23,1,5,53,0.018867924528301886,0.0033384533882637665,0.09942912052501235,Dupla,Sim
364,341,RO,JI-PARANA,23,0,5,57,0.0,0.0,0.06313883485297893,Simples,Sim
101,89,PB,JOAO PESSOA,23,1,8,51,0.0196078431372549,0.0034696926410608467,0.10304568726144972,Dupla,Sim
116,702,MG,MURIAE,23,0,5,61,0.0,0.0,0.0592438678981128,Simples,Sim
116,276,MG,TEOFILO OTONI,23,0,9,60,0.0,0.0,0.06017185214208984,Dupla,Sim
70,18,DF,BRASILIA,23,0,6,53,0.0,0.0,0.06758198857654184,Dupla,Não
282,0,SC,FLORIANOPOLIS,23,0,6,56,0.0,0.0,0.06419393671876339,Múltipla,Não
101,331,RJ,RIO DE JANEIRO,23,0,7,54,0.0,0.0,0.06641358809089637,Dupla,Não
101,309,RJ,SAO GONCALO,23,1,2,60,0.016666666666666666,0.0029481597947862564,0.08855129727590058,Dupla,Sim
101,80,PE,JABOATAO DOS GUARARAPES,23,1,5,55,0.01818181818181818,0.003216780454841077,0.09605776062162394,Múltipla,Sim
101,72,PE,RECIFE,23,0,11,56,0.0,0.0,0.06419393671876339,Dupla,Sim
493,19,RJ,MAGE,23,3,7,53,0.05660377358490566,0.019436661484935766,0.15370208310180888,Simples,Sim
101,329,RJ,RIO DE JANEIRO,23,1,1,60,0.016666666666666666,0.0029481597947862564,0.08855129727590058,Dupla,Sim
116,263,RS,CANOAS,23,1,0,58,0.017241379310344827,0.0030500384460675142,0.0914085809346801,Dupla,Não
116,414,MG,GOVERNADOR VALADARES,22,0,6,55,0.0,0.0,0.06528490111708635,Simples,Sim
101,296,ES,CARIACICA,22,1,5,52,0.019230769230769232,0.0034028080709451597,0.10120511127892244,Dupla,Sim
60,97,GO,ANAPOLIS,22,0,8,49,0.0,0.0,0.07269781922049635,Dupla,Sim
381,71,SP,SAO PAULO,22,0,1,47,0.0,0.0,0.07555760416399626,Dupla,Não
116,284,SP,EMBU DAS ARTES,22,0,2,50,0.0,0.0,0.0713475991333587,Dupla,Sim
470,58,SC,BLUMENAU,22,2,3,49,0.04081632653061224,0.011265633366185801,0.13713032306080064,Simples,Sim
101,51,SP,UBATUBA,22,0,7,56,0.0,0.0,0.06419393671876339,Simples,Sim
101,49,SP,UBATUBA,22,0,8,52,0.0,0.0,0.0687922361238623,Simples,Sim
116,139,SP,SAO JOSE DOS CAMPOS,22,0,3,63,0.0,0.0,0.05747119958885169,Dupla,Não
407,129,PE,PETROLINA,22,2,7,52,0.038461538461538464,0.010611711001315298,0.1298118915745576,Dupla,Sim
101,139,SC,BALNEARIO CAMBORIU,22,0,6,44,0.0,0.0,0.08029560375848063,Dupla,Sim
135,5,MA,SAO LUIS,22,0,6,58,0.0,0.0,0.062117855787202886,Dupla,Não
365,626,MG,UBERLANDIA,22,0,4,62,0.0,0.0,0.058344072101372456,Dupla,Sim
470,217,RS,BENTO GONCALVES,22,0,0,62,0.0,0.0,0.058344072101372456,Dupla,Sim
230,11,PB,CABEDELO,22,0,9,41,0.0,0.0,0.08566757018443184,Dupla,Não
40,118,RJ,DUQUE DE CAXIAS,22,0,5,40,0.0,0.0,0.0876216011972866,Múltipla,Sim
101,485,RJ,ANGRA DOS REIS,22,1,7,49,0.02040816326530612,0.0036116725898252544,0.10693521523391615,Simples,Sim
101,85,RN,NATAL,22,0,9,47,0.0,0.0,0.07555760416399626,Simples,Sim
40,117,RJ,DUQUE DE CAXIAS,22,2,4,63,0.031746031746031744,0.008749527561580449,0.1085647704660743,Múltipla,Não
116,17,PR,COLOMBO,22,1,0,55,0.01818181818181818,0.003216780454841077,0.09605776062162394,Dupla,Sim
116,125,PR,FAZENDA RIO GRANDE,22,0,3,54,0.0,0.0,0.06641358809089637,Dupla,Sim
222,3,CE,CAUCAIA,22,1,9,51,0.0196078431372549,0.0034696926410608467,0.10304568726144972,Múltipla,Sim
101,326,RJ,NITEROI,22,0,4,62,0.0,0.0,0.058344072101372456,Dupla,Sim
316,2,PI,TERESINA,22,0,7,51,0.0,0.0,0.07004661989853139,Múltipla,Sim
101,482,RJ,ANGRA DOS REIS,22,1,7,62,0.016129032258064516,0.00285286716862182,0.08586720260689991,Simples,Sim
40,3,GO,VALPARAISO DE GOIAS,22,0,3,53,0.0,0.0,0.06758198857654184,Dupla,Sim
470,68,SC,INDAIAL,22,0,9,64,0.0,0.0,0.05662405979280531,Simples,Sim
290,86,RS,PORTO ALEGRE,22,0,2,45,0.0,0.0,0.07865159873288834,Múltipla,Sim
116,416,MG,GOVERNADOR VALADARES,22,0,4,46,0.0,0.0,0.07707356308558035,Simples,Sim
277,1,PR,PARANAGUA,21,0,5,52,0.0,0.0,0.0687922361238623,Simples,Não
369,187,PR,ARAPONGAS,21,0,7,46,0.0,0.0,0.07707356308558035,Simples,Sim
101,82,PE,JABOATAO DOS GUARARAPES,21,1,5,48,0.020833333333333332,0.003687110977510656,0.10899217995251859,Dupla,Sim
376,617,PR,SAO JOSE DOS PINHAIS,21,0,3,52,0.0,0.0,0.0687922361238623,Múltipla,Sim
40,112,RJ,DUQUE DE CAXIAS,21,0,3,43,0.0,0.0,0.08200980322579113,Múltipla,Não
101,44,PE,IGARASSU,21,0,8,53,0.0,0.0,0.06758198857654184,Múltipla,Sim
116,243,RS,SAO LEOPOLDO,21,1,2,49,0.02040816326530612,0.0036116725898252544,0.10693521523391615,Dupla,Não
101,122,SC,ITAJAI,21,0,5,41,0.0,0.0,0.08566757018443184,Dupla,Sim
116,178,RJ,NOVA IGUACU,21,2,1,45,0.044444444444444446,0.012274126706719873,0.1482751076943562,Dupla,Sim
101,58,PE,RECIFE,21,1,7,56,0.017857142857142856,0.0031592103419746664,0.09445637149397573,Dupla,Sim
101,81,RN,NATAL,21,1,5,58,0.017241379310344827,0.0030500384460675142,0.0914085809346801,Dupla,Sim
101,99,RN,NATAL,21,0,5,52,0.0,0.0,0.0687922361238623,Simples,Sim
364,124,AC,RIO BRANCO,21,1,4,52,0.019230769230769232,0.0034028080709451597,0.10120511127892244,Dupla,Sim
101,148,ES,LINHARES,21,0,3,41,0.0,0.0,0.08566757018443184,Dupla,Não
470,66,SC,INDAIAL,21,2,7,52,0.038461538461538464,0.010611711001315298,0.1298118915745576,Simples,Não
116,148,SP,SAO JOSE DOS CAMPOS,21,2,3,57,0.03508771929824561,0.009675664344932888,0.11920781367625805,Múltipla,Não
135,7,MA,SAO LUIS,21,0,4,51,0.0,0.0,0.07004661989853139,Dupla,Sim
101,294,ES,CARIACICA,21,1,8,73,0.0136986301369863,0.0024222514664838588,0.07359737270963818,Dupla,Sim
280,27,SC,SAO FRANCISCO DO SUL,21,1,10,52,0.019230769230769232,0.0034028080709451597,0.10120511127892244,Simples,Sim
470,53,SC,BLUMENAU,21,0,16,60,0.0,0.0,0.06017185214208984,Simples,Sim
116,158,SP,JACAREI,21,2,2,44,0.045454545454545456,0.012555109949594967,0.15134998437629651,Simples,Sim
381,502,MG,BETIM,21,0,5,44,0.0,0.0,0.08029560375848063,Dupla,Sim
101,129,SC,CAMBORIU,21,0,7,50,0.0,0.0,0.0713475991333587,Simples,Sim
40,532,MG,BELO HORIZONTE,21,0,2,59,0.0,0.0,0.061129370526788365,Dupla,Sim
101,135,SC,BALNEARIO CAMBORIU,21,1,4,44,0.022727272727272728,0.004023252060053231,0.11807709698213281,Múltipla,Sim
101,198,SC,BIGUACU,21,1,2,39,0.02564102564102564,0.004540703100990098,0.1318099016985007,Múltipla,Sim
101,218,SC,PALHOCA,21,0,4,43,0.0,0.0,0.08200980322579113,Dupla,Não
116,150,RS,CAXIAS DO SUL,21,1,1,64,0.015625,0.002763541923337505,0.08334101600094262,Dupla,Sim
364,11,RO,VILHENA,21,0,3,45,0.0,0.0,0.07865159873288834,Simples,Sim
101,121,SC,ITAJAI,21,0,7,54,0.0,0.0,0.06641358809089637,Dupla,Sim
40,511,MG,RIBEIRAO DAS NEVES,21,0,7,61,0.0,0.0,0.0592438678981128,Dupla,Não
116,19,CE,EUSEBIO,20,0,3,54,0.0,0.0,0.06641358809089637,Dupla,Sim
369,147,PR,LONDRINA,20,0,6,51,0.0,0.0,0.07004661989853139,Dupla,Sim
70,7,DF,BRASILIA,20,0,4,55,0.0,0.0,0.06528490111708635,Dupla,Sim
116,23,CE,AQUIRAZ,20,0,7,46,0.0,0.0,0.07707356308558035,Dupla,Sim
222,4,CE,CAUCAIA,20,0,8,54,0.0,0.0,0.06641358809089637,Múltipla,Sim
277,0,PR,PARANAGUA,20,1,6,53,0.018867924528301886,0.0033384533882637665,0.09942912052501235,Simples,Sim
277,725,PR,FOZ DO IGUACU,20,0,4,45,0.0,0.0,0.07865159873288834,Simples,Sim
369,148,PR,LONDRINA,20,0,4,42,0.0,0.0,0.08379879086570388,Dupla,Sim
277,7,PR,PARANAGUA,20,0,3,46,0.0,0.0,0.07707356308558035,Simples,Sim
116,6,CE,FORTALEZA,20,0,2,46,0.0,0.0,0.07707356308558035,Múltipla,Sim
324,623,BA,SALVADOR,20,0,3,44,0.0,0.0,0.08029560375848063,Dupla,Sim
116,12,CE,FORTALEZA,20,1,5,43,0.023255813953488372,0.0041170872743337555,0.12058993440607173,Múltipla,Sim
116,18,PR,CAMPINA GRANDE DO SUL,20,0,3,46,0.0,0.0,0.07707356308558035,Dupla,Não
101,103,RN,PARNAMIRIM,20,0,2,44,0.0,0.0,0.08029560375848063,Dupla,Sim
101,98,RN,NATAL,20,0,3,44,0.0,0.0,0.08029560375848063,Múltipla,Sim
101,83,RN,SAO GONCALO DO AMARANTE,20,0,3,52,0.0,0.0,0.0687922361238623,Simples,Sim
116,145,RJ,DUQUE DE CAXIAS,20,1,4,47,0.02127659574468085,0.003765768038596788,0.11112981041629325,Dupla,Não
116,175,RJ,SAO JOAO DE MERITI,20,1,5,61,0.01639344262295082,0.002899730799299831,0.08718860044641583,Múltipla,Sim
101,74,PE,RECIFE,20,0,4,54,0.0,0.0,0.06641358809089637,Dupla,Não
101,78,PE,JABOATAO DOS GUARARAPES,20,3,5,54,0.05555555555555555,0.019073268454690914,0.1510721431816614,Dupla,Sim
116,82,RJ,TERESOPOLIS,20,1,3,48,0.020833333333333332,0.003687110977510656,0.10899217995251859,Simples,Sim
101,319,RJ,NITEROI,20,0,0,43,0.0,0.0,0.08200980322579113,Dupla,Sim
101,320,RJ,NITEROI,20,0,3,43,0.0,0.0,0.08200980322579113,Múltipla,Sim
101,323,RJ,NITEROI,20,0,1,48,0.0,0.0,0.07410012966611745,Dupla,Não
101,325,RJ,NITEROI,20,0,0,55,0.0,0.0,0.06528490111708635,Múltipla,Não
101,296,RJ,ITABORAI,20,4,11,53,0.07547169811320754,0.0297395550869467,0.17858477483653223,Dupla,Não
116,122,PR,CURITIBA,20,0,4,46,0.0,0.0,0.07707356308558035,Dupla,Sim
343,341,PI,TERESINA,20,0,11,42,0.0,0.0,0.08379879086570388,Dupla,Sim
364,424,RO,JARU,20,1,5,56,0.017857142857142856,0.0031592103419746664,0.09445637149397573,Múltipla,Sim
40,525,MG,CONTAGEM,20,0,8,42,0.0,0.0,0.08379879086570388,Dupla,Sim
101,82,PB,JOAO PESSOA,20,0,6,57,0.0,0.0,0.06313883485297893,Dupla,Não
70,1,MT,BARRA DO GARCAS,20,0,5,58,0.0,0.0,0.062117855787202886,Simples,Sim
116,262,RS,CANOAS,20,0,2,34,0.0,0.0,0.10151455415332375,Múltipla,Sim
290,107,RS,ELDORADO DO SUL,20,0,6,52,0.0,0.0,0.0687922361238623,Dupla,Sim
290,95,RS,PORTO ALEGRE,20,1,1,49,0.02040816326530612,0.0036116725898252544,0.10693521523391615,Dupla,Não
116,260,RS,CANOAS,20,1,1,41,0.024390243902439025,0.004318531568912404,0.12595062055774228,Dupla,Sim
101,116,SC,ITAJAI,20,1,5,42,0.023809523809523808,0.004215404134432499,0.12321201573766641,Dupla,Não
116,247,RS,SAO LEOPOLDO,20,1,1,54,0.018518518518518517,0.003276487718229061,0.09771437488781928,Dupla,Sim
470,45,SC,GASPAR,20,0,6,42,0.0,0.0,0.08379879086570388,Simples,Não
40,510,MG,RIBEIRAO DAS NEVES,20,0,5,71,0.0,0.0,0.05132795219689032,Dupla,Não
280,31,SC,ARAQUARI,20,1,3,55,0.01818181818181818,0.003216780454841077,0.09605776062162394,Simples,Sim
470,56,SC,BLUMENAU,20,0,3,42,0.0,0.0,0.08379879086570388,Múltipla,Sim
101,66,ES,SAO MATEUS,20,0,5,45,0.0,0.0,0.07865159873288834,Dupla,Não
324,518,BA,FEIRA DE SANTANA,20,1,4,52,0.019230769230769232,0.0034028080709451597,0.10120511127892244,Dupla,Sim
381,88,SP,GUARULHOS,20,2,3,53,0.03773584905660377,0.010410287275826852,0.12754287197418354,Múltipla,Sim
