br,km_trecho,uf,municipio,acidentes,mortos,feridos_graves,pessoas,letalidade,letalidade_ic_baixo,letalidade_ic_alto,tipo_pista,uso_solo
116,181,RJ,NOVA IGUACU,38,2,3,86,0.023255813953488372,0.006400926204270865,0.08088014562632054,Múltipla,Sim
116,220,SP,GUARULHOS,38,2,6,89,0.02247191011235955,0.006184398702128592,0.07827634674822492,Múltipla,Sim
101,211,SC,SAO JOSE,38,0,14,77,0.0,0.0,0.04751842528243406,Dupla,Sim
343,3,PI,TERESINA,37,0,17,87,0.0,0.0,0.042287506944120326,Múltipla,Sim
101,298,ES,VIANA,37,0,14,80,0.0,0.0,0.045818129535527094,Dupla,Sim
116,145,SP,SAO JOSE DOS CAMPOS,37,1,7,92,0.010869565217391304,0.001921329040091714,0.059027856130625174,Dupla,Sim
116,171,RJ,RIO DE JANEIRO,37,2,8,88,0.022727272727272728,0.006254928263812166,0.07912545355267583,Dupla,Sim
40,518,MG,RIBEIRAO DAS NEVES,37,1,10,101,0.009900990099009901,0.0017499112489682278,0.05396715799445504,Dupla,Sim
40,123,RJ,DUQUE DE CAXIAS,37,0,5,79,0.0,0.0,0.046371211653922634,Múltipla,Sim
230,22,PB,JOAO PESSOA,36,0,9,93,0.0,0.0,0.03966750261173513,Dupla,Não
277,83,PR,CURITIBA,36,1,6,83,0.012048192771084338,0.0021299774281082692,0.06513580668032404,Dupla,Sim
343,2,PI,TERESINA,36,0,7,83,0.0,0.0,0.04423530964197382,Múltipla,Sim
116,282,SP,EMBU DAS ARTES,36,5,7,88,0.056818181818181816,0.024511027973809205,0.1261993265700725,Dupla,Não
116,230,SP,SAO PAULO,35,3,12,91,0.03296703296703297,0.01127440676768262,0.09249306942962307,Simples,Não
116,169,RJ,RIO DE JANEIRO,35,0,2,75,0.0,0.0,0.04872384248280584,Múltipla,Não
101,67,PE,RECIFE,35,1,9,83,0.012048192771084338,0.0021299774281082692,0.06513580668032404,Dupla,Sim
101,120,SC,ITAJAI,35,0,10,76,0.0,0.0,0.048113585065137306,Simples,Não
101,86,PB,BAYEUX,35,1,14,78,0.01282051282051282,0.0022667317538337256,0.06910857001702223,Dupla,Sim
101,321,RJ,NITEROI,35,1,2,86,0.011627906976744186,0.0020555686652495644,0.06296406589291723,Múltipla,Sim
116,147,SP,SAO JOSE DOS CAMPOS,35,2,5,88,0.022727272727272728,0.006254928263812166,0.07912545355267583,Dupla,Sim
153,62,SP,SAO JOSE DO RIO PRETO,34,0,6,87,0.0,0.0,0.042287506944120326,Dupla,Sim
101,117,SC,ITAJAI,34,0,13,90,0.0,0.0,0.04093562556432677,Múltipla,Sim
230,23,PB,JOAO PESSOA,34,1,13,90,0.011111111111111112,0.001964084100918348,0.0602840831175345,Dupla,Sim
324,622,BA,SALVADOR,34,0,1,83,0.0,0.0,0.04423530964197382,Múltipla,Não
